week,coefficient,std_error,significance
1-2,-0.002,0.002,
3-4,-0.002,0.003,
5-6,0.005,0.004,
7-8,-0.003,0.003,
9-10,0.005,0.005,
11-12,0.015,0.005,**
13-14,0.015,0.005,**
15-16,0.010,0.005,**
17-18,-0.002,0.005,
19-20,0.004,0.005,
21-22,-0.005,0.006,
23-24,-0.003,0.006,
25-26,0.007,0.005,
27-28,0.002,0.007,
29-30,0.018,0.004,***
31-32,-0.003,0.005,
33-34,-0.005,0.005,
35-36,-0.002,0.005,
37-38,0.007,0.007,
39-40,-0.006,0.008,
41-42,0.006,0.007,
43-44,0.005,0.007,
45-46,0.001,0.007,
47-48,0.005,0.008,
49-50,0.005,0.009,
51-52,0.004,0.009,
